id,name,address,cell_phone,email,title,home_phone,plane_licenses
3009907461,Doddi Doddason,Fellsmúli 1,8998801,doddi@gmail.com,Pilot,None,"[""['Boeing 777']""]"
2907675667,Felecia Moye,Smáragata 2,8227780,felecia@gmail.com,Pilot,None,"[""['Boeing 777', 'Boeing 787']""]"
1308941169,Alex Kárasson,Bollagata 3,7782456,alex@gmail.com,Cabin Crew,6353331,None
1205921111,Karl Sveinsson,Austurströnd 19,5551010,KarlRealEmail@hotmail.com,Pilot,5552020,None
0202921020,Gunna Gunnarsdóttir,Rósarimi 14,8888555,Gunna92@gmail.com,Pilot,None,None
2806009975,Gauti Guðmundsson,Austurbrekka 2,6222412,Gautigudmunds@gmail.com,Cabin Crew,None,None
0310963169,Olafur,Eskihlíð 16,8661994,olafurvalfells@gmail.com,Cabin Crew,5516666,None
1005901500,Guggenheim,logarvegur 151,1500232,TheGuggenheim@gmail.com,Pilot,2312302,"[""['Boeing 747']""]"
0310953169,Pilot One,Gata 1,8661995,pilot1@gmail.com,pilot,5511234,"[""['Boeing 747', 'Boeing 777']""]"
0310943169,Pilot Two,Gata 2,8661996,pilot2@gmail.com,pilot,5515515,"[""['Airbus A350', 'Boeing 787', 'Airbus A320']""]"
1010021222,jonniin,asad 3,5555355,jonni@gmail.com,Pilot,None,None
1503021212,Jon Test,Austurbrekka 15,1414000,jontest@gmail.com,Cabin Crew,None,None
1507021212,Jonnina,Grandarleið 12,1212121,jongunn@gmail.com,Pilot,None,"[""['Boeing 787', 'Boeing 767', 'Airbus A320']""]"
1501852529,Gunnar Hrafn,Rósarimi 64,2552100,Gunnarh@hotmail.com,Cabin Crew,None,None
1502015000,Gulla Sigmundsdóttir,Krambratún 42,4141200,Gulla@mail.is,Pilot,None,"[""['Boeing 767', 'Boeing 787', 'Airbus A777']""]"
2707004580,Goggi Karlsson,Laugavegur 3,2144146,goggi@gmail.com,Pilot,Gugg,None
0311937819,Mark Rufalo,Eskihlíð 6,8984545,mark@rufalo.com,Pilot,5812321,
1103019890,Óli Jr,Eskihlíð 5,8884534,oli@hotmail.com,Pilot,None,['Boeing 777']
